"";"CHK_ACCT";"DURATION";"HISTORY";"NEW_CAR";"USED_CAR";"FURNITURE";"RADIO.TV";"EDUCATION";"RETRAINING";"AMOUNT";"SAV_ACCT";"EMPLOYMENT";"INSTALL_RATE";"MALE_DIV";"MALE_SINGLE";"MALE_MAR_or_WID";"CO.APPLICANT";"GUARANTOR";"PRESENT_RESIDENT";"REAL_ESTATE";"PROP_UNKN_NONE";"AGE";"OTHER_INSTALL";"RENT";"OWN_RES";"NUM_CREDITS";"JOB";"NUM_DEPENDENTS";"TELEPHONE";"FOREIGN";"RESPONSE"
"1";"0";6;"4";"0";"0";"0";"1";"0";"0";1169;"4";"4";"4";"0";"1";"0";"0";"0";"4";"1";"0";67;"0";"0";"1";"2";"2";"1";"1";"0";"Good Rating"
"2";"1";48;"2";"0";"0";"0";"1";"0";"0";5951;"0";"2";"2";"0";"0";"0";"0";"0";"2";"1";"0";22;"0";"0";"1";"1";"2";"1";"0";"0";"Bad Rating"
"3";"3";12;"4";"0";"0";"0";"0";"1";"0";2096;"0";"3";"2";"0";"1";"0";"0";"0";"3";"1";"0";49;"0";"0";"1";"1";"1";"2";"0";"0";"Good Rating"
"4";"0";42;"2";"0";"0";"1";"0";"0";"0";7882;"0";"3";"2";"0";"1";"0";"0";"1";"4";"0";"0";45;"0";"0";"0";"1";"2";"2";"0";"0";"Good Rating"
"5";"0";24;"3";"1";"0";"0";"0";"0";"0";4870;"0";"2";"3";"0";"1";"0";"0";"0";"4";"0";"1";53;"0";"0";"0";"2";"2";"2";"0";"0";"Bad Rating"
"6";"3";36;"2";"0";"0";"0";"0";"1";"0";9055;"4";"2";"2";"0";"1";"0";"0";"0";"4";"0";"1";35;"0";"0";"0";"1";"1";"2";"1";"0";"Good Rating"
"7";"3";24;"2";"0";"0";"1";"0";"0";"0";2835;"2";"4";"3";"0";"1";"0";"0";"0";"4";"0";"0";53;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"8";"1";36;"2";"0";"1";"0";"0";"0";"0";6948;"0";"2";"2";"0";"1";"0";"0";"0";"2";"0";"0";35;"0";"1";"0";"1";"3";"1";"1";"0";"Good Rating"
"9";"3";12;"2";"0";"0";"0";"1";"0";"0";3059;"3";"3";"2";"1";"0";"0";"0";"0";"4";"1";"0";61;"0";"0";"1";"1";"1";"1";"0";"0";"Good Rating"
"10";"1";30;"4";"1";"0";"0";"0";"0";"0";5234;"0";"0";"4";"0";"0";"1";"0";"0";"2";"0";"0";28;"0";"0";"1";"2";"3";"1";"0";"0";"Bad Rating"
"11";"1";12;"2";"1";"0";"0";"0";"0";"0";1295;"0";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";25;"0";"1";"0";"1";"2";"1";"0";"0";"Bad Rating"
"12";"0";48;"2";"0";"0";"0";"0";"0";"1";4308;"0";"1";"3";"0";"0";"0";"0";"0";"4";"0";"0";24;"0";"1";"0";"1";"2";"1";"0";"0";"Bad Rating"
"13";"1";12;"2";"0";"0";"0";"1";"0";"0";1567;"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";22;"0";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
"14";"0";24;"4";"1";"0";"0";"0";"0";"0";1199;"0";"4";"4";"0";"1";"0";"0";"0";"4";"0";"0";60;"0";"0";"1";"2";"1";"1";"0";"0";"Bad Rating"
"15";"0";15;"2";"1";"0";"0";"0";"0";"0";1403;"0";"2";"2";"0";"0";"0";"0";"0";"4";"0";"0";28;"0";"1";"0";"1";"2";"1";"0";"0";"Good Rating"
"16";"0";24;"2";"0";"0";"0";"1";"0";"0";1282;"1";"2";"4";"0";"0";"0";"0";"0";"2";"0";"0";32;"0";"0";"1";"1";"1";"1";"0";"0";"Bad Rating"
"17";"3";24;"4";"0";"0";"0";"1";"0";"0";2424;"4";"4";"4";"0";"1";"0";"0";"0";"4";"0";"0";53;"0";"0";"1";"2";"2";"1";"0";"0";"Good Rating"
"18";"0";30;"0";"0";"0";"0";"0";"0";"1";8072;"4";"1";"2";"0";"1";"0";"0";"0";"3";"0";"0";25;"1";"0";"1";"3";"2";"1";"0";"0";"Good Rating"
"19";"1";24;"2";"0";"1";"0";"0";"0";"0";12579;"0";"4";"4";"0";"0";"0";"0";"0";"2";"0";"1";44;"0";"0";"0";"1";"3";"1";"1";"0";"Bad Rating"
"20";"3";24;"2";"0";"0";"0";"1";"0";"0";3430;"2";"4";"3";"0";"1";"0";"0";"0";"2";"0";"0";31;"0";"0";"1";"1";"2";"2";"1";"0";"Good Rating"
"21";"3";9;"4";"1";"0";"0";"0";"0";"0";2134;"0";"2";"4";"0";"1";"0";"0";"0";"4";"0";"0";48;"0";"0";"1";"3";"2";"1";"1";"0";"Good Rating"
"22";"0";6;"2";"0";"0";"0";"1";"0";"0";2647;"2";"2";"2";"0";"1";"0";"0";"0";"3";"1";"0";44;"0";"1";"0";"1";"2";"2";"0";"0";"Good Rating"
"23";"0";10;"4";"1";"0";"0";"0";"0";"0";2241;"0";"1";"1";"0";"1";"0";"0";"0";"3";"1";"0";48;"0";"1";"0";"2";"1";"2";"0";"1";"Good Rating"
"24";"1";12;"4";"0";"1";"0";"0";"0";"0";1804;"1";"1";"3";"0";"1";"0";"0";"0";"4";"0";"0";44;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"25";"3";10;"4";"0";"0";"1";"0";"0";"0";2069;"4";"2";"2";"0";"0";"1";"0";"0";"1";"0";"0";26;"0";"0";"1";"2";"2";"1";"0";"1";"Good Rating"
"26";"0";6;"2";"0";"0";"1";"0";"0";"0";1374;"0";"2";"1";"0";"1";"0";"0";"0";"2";"1";"0";36;"1";"0";"1";"1";"1";"1";"1";"0";"Good Rating"
"27";"3";6;"0";"0";"0";"0";"1";"0";"0";426;"0";"4";"4";"0";"0";"1";"0";"0";"4";"0";"0";39;"0";"0";"1";"1";"1";"1";"0";"0";"Good Rating"
"28";"2";12;"1";"0";"0";"0";"1";"0";"0";409;"3";"2";"3";"0";"0";"0";"0";"0";"3";"1";"0";42;"0";"1";"0";"2";"2";"1";"0";"0";"Good Rating"
"29";"1";7;"2";"0";"0";"0";"1";"0";"0";2415;"0";"2";"3";"0";"1";"0";"0";"1";"2";"1";"0";34;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"30";"0";60;"3";"0";"0";"0";"0";"0";"1";6836;"0";"4";"3";"0";"1";"0";"0";"0";"4";"0";"1";63;"0";"0";"1";"2";"2";"1";"1";"0";"Bad Rating"
"31";"1";18;"2";"0";"0";"0";"0";"0";"1";1913;"3";"1";"3";"0";"0";"1";"0";"0";"3";"1";"0";36;"1";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
"32";"0";24;"2";"0";"0";"1";"0";"0";"0";4020;"0";"2";"2";"0";"1";"0";"0";"0";"2";"0";"0";27;"1";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"33";"1";18;"2";"1";"0";"0";"0";"0";"0";5866;"1";"2";"2";"0";"1";"0";"0";"0";"2";"0";"0";30;"0";"0";"1";"2";"2";"1";"1";"0";"Good Rating"
"34";"3";12;"4";"0";"0";"0";"0";"0";"1";1264;"4";"4";"4";"0";"1";"0";"0";"0";"4";"0";"1";57;"0";"1";"0";"1";"1";"1";"0";"0";"Good Rating"
"35";"2";12;"2";"0";"0";"1";"0";"0";"0";1474;"0";"1";"4";"0";"0";"0";"0";"0";"1";"0";"0";33;"1";"0";"1";"1";"3";"1";"1";"0";"Good Rating"
"36";"1";45;"4";"0";"0";"0";"1";"0";"0";4746;"0";"1";"4";"0";"1";"0";"0";"0";"2";"0";"0";25;"0";"0";"1";"2";"1";"1";"0";"0";"Bad Rating"
"37";"3";48;"4";"0";"0";"0";"0";"1";"0";6110;"0";"2";"1";"0";"1";"0";"0";"0";"3";"0";"1";31;"1";"0";"0";"1";"2";"1";"1";"0";"Good Rating"
"38";"2";18;"2";"0";"0";"0";"1";"0";"0";2100;"0";"2";"4";"0";"1";"0";"1";"0";"2";"1";"0";37;"1";"0";"1";"1";"2";"1";"0";"0";"Bad Rating"
"39";"2";10;"2";"0";"0";"0";"0";"0";"0";1225;"0";"2";"2";"0";"1";"0";"0";"0";"2";"0";"0";37;"0";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
"40";"1";9;"2";"0";"0";"0";"1";"0";"0";458;"0";"2";"4";"0";"1";"0";"0";"0";"3";"1";"0";24;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"41";"3";30;"2";"0";"0";"0";"1";"0";"0";2333;"2";"4";"4";"0";"1";"0";"0";"0";"2";"0";"0";30;"1";"0";"1";"1";"3";"1";"0";"0";"Good Rating"
"42";"1";12;"2";"0";"0";"0";"1";"0";"0";1158;"2";"2";"3";"1";"0";"0";"0";"0";"1";"0";"0";26;"0";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
"43";"1";18;"3";"0";"0";"0";"0";"0";"0";6204;"0";"2";"2";"0";"1";"0";"0";"0";"4";"1";"0";44;"0";"0";"1";"1";"1";"2";"1";"0";"Good Rating"
"44";"0";30;"4";"0";"1";"0";"0";"0";"0";6187;"1";"3";"1";"0";"0";"1";"0";"0";"4";"0";"0";24;"0";"1";"0";"2";"2";"1";"0";"0";"Good Rating"
"45";"0";48;"4";"0";"1";"0";"0";"0";"0";6143;"0";"4";"4";"0";"0";"0";"0";"0";"4";"0";"1";58;"1";"0";"0";"2";"1";"1";"0";"0";"Bad Rating"
"46";"3";11;"4";"1";"0";"0";"0";"0";"0";1393;"0";"1";"4";"0";"0";"0";"0";"0";"4";"0";"0";35;"0";"0";"1";"2";"3";"1";"0";"0";"Good Rating"
"47";"3";36;"2";"0";"0";"0";"1";"0";"0";2299;"2";"4";"4";"0";"1";"0";"0";"0";"4";"0";"0";39;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"48";"0";6;"2";"0";"1";"0";"0";"0";"0";1352;"2";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";23;"0";"1";"0";"1";"0";"1";"1";"0";"Good Rating"
"49";"3";11;"4";"1";"0";"0";"0";"0";"0";7228;"0";"2";"1";"0";"1";"0";"0";"0";"4";"0";"0";39;"0";"0";"1";"2";"1";"1";"0";"0";"Good Rating"
"50";"3";12;"2";"0";"0";"0";"1";"0";"0";2073;"1";"2";"4";"0";"0";"0";"1";"0";"2";"1";"0";28;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"51";"1";24;"3";"0";"0";"1";"0";"0";"0";2333;"4";"1";"4";"0";"1";"0";"0";"0";"2";"0";"0";29;"1";"0";"1";"1";"1";"1";"0";"0";"Good Rating"
"52";"1";27;"3";"0";"1";"0";"0";"0";"0";5965;"0";"4";"1";"0";"1";"0";"0";"0";"2";"0";"0";30;"0";"0";"1";"2";"3";"1";"1";"0";"Good Rating"
"53";"3";12;"2";"0";"0";"0";"1";"0";"0";1262;"0";"2";"3";"0";"1";"0";"0";"0";"2";"0";"0";25;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"54";"3";18;"2";"0";"1";"0";"0";"0";"0";3378;"4";"2";"2";"0";"1";"0";"0";"0";"1";"0";"0";31;"0";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
"55";"1";36;"3";"1";"0";"0";"0";"0";"0";2225;"0";"4";"4";"0";"1";"0";"0";"0";"4";"0";"1";57;"1";"0";"0";"2";"2";"1";"1";"0";"Bad Rating"
"56";"3";6;"1";"1";"0";"0";"0";"0";"0";783;"4";"2";"1";"0";"1";"0";"0";"1";"2";"1";"0";26;"1";"0";"1";"1";"1";"2";"0";"0";"Good Rating"
"57";"1";12;"2";"0";"0";"0";"1";"0";"0";6468;"4";"0";"2";"0";"1";"0";"0";"0";"1";"0";"1";52;"0";"0";"1";"1";"3";"1";"1";"0";"Bad Rating"
"58";"3";36;"4";"0";"0";"0";"1";"0";"0";9566;"0";"2";"2";"0";"0";"0";"0";"0";"2";"0";"0";31;"1";"0";"1";"2";"2";"1";"0";"0";"Good Rating"
"59";"2";18;"2";"1";"0";"0";"0";"0";"0";1961;"0";"4";"3";"0";"0";"0";"0";"0";"2";"0";"0";23;"0";"0";"1";"1";"3";"1";"0";"0";"Good Rating"
"60";"0";36;"4";"0";"0";"1";"0";"0";"0";6229;"0";"1";"4";"0";"0";"0";"1";"0";"4";"0";"1";23;"0";"1";"0";"2";"1";"1";"1";"0";"Bad Rating"
"61";"1";9;"2";"0";"0";"0";"0";"0";"1";1391;"0";"2";"2";"0";"0";"1";"0";"0";"1";"1";"0";27;"1";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
"62";"1";15;"4";"0";"0";"0";"1";"0";"0";1537;"4";"4";"4";"0";"1";"0";"0";"1";"4";"1";"0";50;"0";"0";"1";"2";"2";"1";"1";"0";"Good Rating"
"63";"1";36;"0";"0";"0";"0";"0";"0";"1";1953;"0";"4";"4";"0";"1";"0";"0";"0";"4";"0";"1";61;"0";"0";"0";"1";"3";"1";"1";"0";"Bad Rating"
"64";"1";48;"0";"0";"0";"0";"0";"0";"1";14421;"0";"2";"2";"0";"1";"0";"0";"0";"2";"0";"0";25;"0";"0";"1";"1";"2";"1";"1";"0";"Bad Rating"
"65";"3";24;"2";"0";"0";"0";"1";"0";"0";3181;"0";"1";"4";"0";"0";"0";"0";"0";"4";"0";"0";26;"0";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
"66";"3";27;"2";"0";"0";"0";"0";"0";"0";5190;"4";"4";"4";"0";"1";"0";"0";"0";"4";"0";"0";48;"0";"0";"1";"4";"2";"2";"1";"0";"Good Rating"
"67";"3";12;"2";"0";"0";"0";"1";"0";"0";2171;"0";"1";"2";"0";"0";"0";"0";"0";"2";"0";"0";29;"1";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"68";"1";12;"2";"1";"0";"0";"0";"0";"0";1007;"3";"2";"4";"0";"0";"1";"0";"0";"1";"1";"0";22;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"69";"3";36;"2";"0";"0";"0";"0";"1";"0";1819;"0";"2";"4";"0";"1";"0";"0";"0";"4";"0";"1";37;"1";"0";"0";"1";"2";"1";"1";"0";"Bad Rating"
"70";"3";36;"2";"0";"0";"0";"1";"0";"0";2394;"4";"2";"4";"0";"0";"0";"0";"0";"4";"0";"0";25;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"71";"3";36;"2";"0";"1";"0";"0";"0";"0";8133;"0";"2";"1";"0";"0";"0";"0";"0";"2";"0";"0";30;"1";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"72";"3";7;"4";"0";"0";"0";"1";"0";"0";730;"4";"4";"4";"0";"1";"0";"0";"0";"2";"0";"0";46;"0";"1";"0";"2";"1";"1";"1";"0";"Good Rating"
"73";"0";8;"4";"0";"0";"0";"0";"0";"0";1164;"0";"4";"3";"0";"1";"0";"0";"0";"4";"0";"1";51;"1";"0";"0";"2";"3";"2";"1";"0";"Good Rating"
"74";"1";42;"4";"0";"0";"0";"0";"0";"1";5954;"0";"3";"2";"0";"0";"0";"0";"0";"1";"1";"0";41;"1";"0";"1";"2";"1";"1";"0";"0";"Good Rating"
"75";"0";36;"2";"0";"0";"0";"0";"1";"0";1977;"4";"4";"4";"0";"1";"0";"0";"0";"4";"0";"1";40;"0";"0";"1";"1";"3";"1";"1";"0";"Bad Rating"
"76";"0";12;"4";"0";"1";"0";"0";"0";"0";1526;"0";"4";"4";"0";"1";"0";"0";"0";"4";"0";"1";66;"0";"0";"0";"2";"3";"1";"0";"0";"Good Rating"
"77";"0";42;"2";"0";"0";"0";"1";"0";"0";3965;"0";"1";"4";"0";"1";"0";"0";"0";"3";"0";"0";34;"0";"0";"1";"1";"2";"1";"0";"0";"Bad Rating"
"78";"1";11;"3";"0";"0";"0";"1";"0";"0";4771;"0";"3";"2";"0";"1";"0";"0";"0";"4";"0";"0";51;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"79";"3";54;"0";"0";"1";"0";"0";"0";"0";9436;"4";"2";"2";"0";"1";"0";"0";"0";"2";"0";"0";39;"0";"0";"1";"1";"1";"2";"0";"0";"Good Rating"
"80";"1";30;"2";"0";"0";"1";"0";"0";"0";3832;"0";"1";"2";"0";"0";"1";"0";"0";"1";"0";"0";22;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"81";"3";24;"2";"0";"0";"0";"1";"0";"0";5943;"4";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";44;"0";"0";"1";"2";"2";"1";"1";"0";"Bad Rating"
"82";"3";15;"2";"0";"0";"0";"1";"0";"0";1213;"2";"4";"4";"0";"1";"0";"0";"0";"3";"0";"0";47;"1";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
"83";"3";18;"2";"0";"0";"0";"0";"0";"1";1568;"1";"2";"3";"0";"0";"0";"0";"0";"4";"0";"0";24;"0";"1";"0";"1";"1";"1";"0";"0";"Good Rating"
"84";"0";24;"2";"0";"0";"0";"0";"0";"0";1755;"0";"4";"4";"0";"0";"0";"0";"1";"4";"1";"0";58;"0";"0";"1";"1";"1";"1";"1";"0";"Good Rating"
"85";"0";10;"2";"0";"0";"0";"1";"0";"0";2315;"0";"4";"3";"0";"1";"0";"0";"0";"4";"1";"0";52;"0";"0";"1";"1";"1";"1";"0";"0";"Good Rating"
"86";"3";12;"4";"0";"0";"0";"0";"0";"1";1412;"0";"2";"4";"0";"0";"0";"0";"1";"2";"1";"0";29;"0";"0";"1";"2";"3";"1";"1";"0";"Good Rating"
"87";"1";18;"4";"0";"0";"1";"0";"0";"0";1295;"0";"1";"4";"0";"0";"0";"0";"0";"1";"0";"0";27;"0";"0";"1";"2";"2";"1";"0";"0";"Good Rating"
"88";"1";36;"2";"0";"0";"0";"0";"1";"0";12612;"1";"2";"1";"0";"1";"0";"0";"0";"4";"0";"1";47;"0";"0";"0";"1";"2";"2";"1";"0";"Bad Rating"
"89";"0";18;"2";"1";"0";"0";"0";"0";"0";2249;"1";"3";"4";"0";"1";"0";"0";"0";"3";"0";"0";30;"0";"0";"1";"1";"3";"2";"1";"0";"Good Rating"
"90";"0";12;"0";"0";"0";"0";"0";"0";"0";1108;"0";"3";"4";"0";"1";"0";"0";"0";"3";"1";"0";28;"0";"0";"1";"2";"2";"1";"0";"0";"Bad Rating"
"91";"3";12;"4";"0";"0";"0";"1";"0";"0";618;"0";"4";"4";"0";"1";"0";"0";"0";"4";"1";"0";56;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"92";"0";12;"4";"0";"1";"0";"0";"0";"0";1409;"0";"4";"4";"0";"1";"0";"0";"0";"3";"1";"0";54;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"93";"3";12;"4";"0";"0";"0";"1";"0";"0";797;"4";"4";"4";"0";"0";"0";"0";"0";"3";"0";"0";33;"1";"0";"1";"1";"1";"2";"0";"0";"Bad Rating"
"94";"2";24;"4";"0";"0";"1";"0";"0";"0";3617;"4";"4";"4";"0";"1";"0";"1";"0";"4";"0";"1";20;"0";"1";"0";"2";"2";"1";"0";"0";"Good Rating"
"95";"1";12;"2";"1";"0";"0";"0";"0";"0";1318;"3";"4";"4";"0";"1";"0";"0";"0";"4";"1";"0";54;"0";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
"96";"1";54;"0";"0";"0";"0";"0";"0";"1";15945;"0";"1";"3";"0";"1";"0";"0";"0";"4";"0";"1";58;"0";"1";"0";"1";"2";"1";"1";"0";"Bad Rating"
"97";"3";12;"4";"0";"0";"0";"0";"1";"0";2012;"4";"3";"4";"0";"0";"0";"0";"0";"2";"0";"0";61;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"98";"1";18;"2";"0";"0";"0";"0";"0";"1";2622;"1";"2";"4";"0";"1";"0";"0";"0";"4";"0";"0";34;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"99";"1";36;"4";"0";"0";"0";"1";"0";"0";2337;"0";"4";"4";"0";"1";"0";"0";"0";"4";"1";"0";36;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"100";"1";20;"3";"0";"1";"0";"0";"0";"0";7057;"4";"3";"3";"0";"1";"0";"0";"0";"4";"0";"0";36;"1";"1";"0";"2";"3";"2";"1";"0";"Good Rating"
"101";"3";24;"2";"1";"0";"0";"0";"0";"0";1469;"1";"4";"4";"0";"0";"1";"0";"0";"4";"1";"0";41;"0";"1";"0";"1";"1";"1";"0";"0";"Good Rating"
"102";"1";36;"2";"0";"0";"0";"1";"0";"0";2323;"0";"3";"4";"0";"1";"0";"0";"0";"4";"0";"0";24;"0";"1";"0";"1";"2";"1";"0";"0";"Good Rating"
"103";"3";6;"3";"0";"0";"0";"1";"0";"0";932;"0";"2";"3";"0";"0";"0";"0";"0";"2";"1";"0";24;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"104";"1";9;"4";"0";"0";"1";"0";"0";"0";1919;"0";"3";"4";"0";"1";"0";"0";"0";"3";"0";"0";35;"0";"1";"0";"1";"2";"1";"1";"0";"Good Rating"
"105";"3";12;"2";"0";"1";"0";"0";"0";"0";2445;"4";"1";"2";"0";"0";"1";"0";"0";"4";"0";"0";26;"0";"1";"0";"1";"2";"1";"1";"0";"Good Rating"
"106";"1";24;"4";"0";"0";"0";"0";"0";"0";11938;"0";"2";"2";"0";"1";"0";"1";"0";"3";"0";"0";39;"0";"0";"1";"2";"3";"2";"1";"0";"Bad Rating"
"107";"3";18;"1";"1";"0";"0";"0";"0";"0";6458;"0";"4";"2";"0";"1";"0";"0";"0";"4";"0";"1";39;"1";"0";"1";"2";"3";"2";"1";"0";"Bad Rating"
"108";"1";12;"2";"1";"0";"0";"0";"0";"0";6078;"0";"3";"2";"0";"1";"0";"0";"0";"2";"0";"0";32;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"109";"0";24;"2";"0";"0";"1";"0";"0";"0";7721;"4";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";30;"0";"0";"1";"1";"2";"1";"1";"1";"Good Rating"
"110";"1";14;"2";"0";"0";"0";"0";"0";"1";1410;"2";"4";"1";"0";"0";"1";"0";"0";"2";"1";"0";35;"0";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
"111";"1";6;"3";"0";"0";"0";"0";"0";"1";1449;"1";"4";"1";"1";"0";"0";"0";"0";"2";"0";"0";31;"1";"0";"1";"2";"2";"2";"0";"0";"Good Rating"
"112";"2";15;"2";"0";"0";"0";"0";"1";"0";392;"0";"1";"4";"0";"0";"0";"0";"0";"4";"0";"0";23;"0";"1";"0";"1";"2";"1";"1";"0";"Good Rating"
"113";"1";18;"2";"1";"0";"0";"0";"0";"0";6260;"0";"3";"3";"0";"1";"0";"0";"0";"3";"1";"0";28;"0";"1";"0";"1";"1";"1";"0";"0";"Good Rating"
"114";"3";36;"4";"1";"0";"0";"0";"0";"0";7855;"0";"2";"4";"0";"0";"0";"0";"0";"2";"1";"0";25;"1";"0";"1";"2";"2";"1";"1";"0";"Bad Rating"
"115";"0";12;"2";"0";"0";"0";"1";"0";"0";1680;"2";"4";"3";"0";"0";"1";"0";"0";"1";"1";"0";35;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"116";"3";48;"4";"0";"0";"0";"1";"0";"0";3578;"4";"4";"4";"0";"1";"0";"0";"0";"1";"1";"0";47;"0";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
"117";"0";42;"2";"0";"0";"0";"1";"0";"0";7174;"4";"3";"4";"0";"0";"0";"0";"0";"3";"0";"0";30;"0";"0";"1";"1";"3";"1";"1";"0";"Bad Rating"
"118";"0";10;"4";"0";"0";"1";"0";"0";"0";2132;"4";"1";"2";"0";"0";"0";"1";"0";"3";"1";"0";27;"0";"1";"0";"2";"2";"1";"0";"1";"Good Rating"
"119";"0";33;"4";"0";"0";"1";"0";"0";"0";4281;"2";"2";"1";"0";"0";"0";"0";"0";"4";"0";"0";23;"0";"0";"1";"2";"2";"1";"0";"0";"Bad Rating"
"120";"1";12;"4";"1";"0";"0";"0";"0";"0";2366;"2";"3";"3";"1";"0";"0";"0";"0";"3";"0";"0";36;"0";"0";"1";"1";"3";"1";"1";"0";"Good Rating"
